"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]"
"618","AEP TEXAS CENTRAL DIVISION","NEC Co-op Energy","Residential Electricity... Plain and simple.","0.1510","0.1340","0.1260","","False","False","0","Variable","7","0","0.00","www.NECCoopEnergy.com","$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.","https://neccoopenergy.com/wp-content/uploads/NEC-Co-op-Energy-Residential-IOU-Variable-Product-TOS-YOUR-RIGHTS-AS-A-CUST-ENG-SPAN-rev01-20-17.pdf","False","","https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/","https://neccoopenergy.com/join-us/","","(855) 632-7348","FALSE","FALSE"
"893","AEP TEXAS CENTRAL DIVISION","AMBIT ENERGY","Lone Star Select-1 Year Term ","0.1260","0.1040","0.1030","$9.99<1000kWh","False","False","1","Fixed","9","12","199.00","http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C","E-plan discount eligible product. Ambit Energy's E-Plan provides additional savings on our competitive rates and makes managing your account even easier. Just enroll in our Paperless Billing and Automatic Payment programs when you sign up for new service and you're done! See Electricity Facts Label for discount information and enrollment requirements.","https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService","False","","https://mediaserver.ambitenergy.com/media/get/LSS1YTRNG12_18_288_1","http://www.ambitenergy.com","","(877) 282-6248","FALSE","TRUE"
"960","AEP TEXAS CENTRAL DIVISION","YEP","3 Month Fixed Rate AutoPay E-Plan","0.1230","0.0940","0.0900","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","3","175.00","http://www.yeptexas.com","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-3-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"971","AEP TEXAS CENTRAL DIVISION","YEP","6 Month Fixed Rate Autopay E-Plan","0.1250","0.0960","0.0920","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","6","175.00","http://www.yeptexas.com","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-6-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"977","AEP TEXAS CENTRAL DIVISION","YEP","9 Month Fixed Rate Autopay E-Plan","0.1250","0.0960","0.0920","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","9","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-9-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"1005","AEP TEXAS CENTRAL DIVISION","AMBIT ENERGY","Lone Star Select-6 Month Term","0.1310","0.1090","0.1080","$9.99<1000kWh","False","False","1","Fixed","9","6","100.00","http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C","No Special Terms","https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService","False","","https://mediaserver.ambitenergy.com/media/get/LSS6MTRNG6_19_288_1","http://www.ambitenergy.com","","(877) 282-6248","FALSE","TRUE"
"1306","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Spirit Of Texas AutoPay E-Plan","0.1230","0.0940","0.0900","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","12","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","http://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"1311","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Healthy Heart Of Texas AutoPay E-Plan","0.1270","0.0980","0.0940","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","12","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","http://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"1386","AEP TEXAS CENTRAL DIVISION","BRILLIANT ENERGY LLC","Brilliant Freedom 24 Month","0.1490","0.1180","0.1140"," A Minimum Usage Fee of ten dollars and ninety-nine cents ($10.99) for each Customer ESI ID with electricity consumption less than 1,000 kWh per billing cycle.","False","False","1","Fixed","11","24","200.00","http://www.brilliantenergy.com/","*Our most popular product! Brilliant Freedom gives you control. With multiple ways to receive and pay your bills each month, Brilliant Freedom is a perfect electricity plan for all customers. *Sign up with us for 12 months or more and get a $50 gift card by entering the promo code Winter50. Restrictions apply. ","https://docs.brilliantenergy.com/documents/RSEP_20170213_TOSEN.pdf","False","","https://www.mybrilliantenergy.com/agreements/efl/BF/24/P0000/EN","https://www.mybrilliantenergy.com/products/browse/t:AEPC/m:24/p:BF/c:PTC","","(877) 789-8801","FALSE","TRUE"
"1133","AEP TEXAS CENTRAL DIVISION","AMBIT ENERGY","Ambit Certified Green-1 Year Term ","0.1280","0.1060","0.1050","$9.99<1000kWh","False","False","1","Fixed","100","12","199.00","http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C","E-plan discount eligible product. Ambit Energy's E-Plan provides additional savings on our competitive rates and makes managing your account even easier. Just enroll in our Paperless Billing and Automatic Payment programs when you sign up for new service and you're done! See Electricity Facts Label for discount information and enrollment requirements.","https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService","False","","https://mediaserver.ambitenergy.com/media/get/ACG1YTRG12_1_288_1","http://www.ambitenergy.com","","(877) 282-6248","FALSE","TRUE"
"1433","AEP TEXAS CENTRAL DIVISION","AP GAS & ELECTRIC (TX) LLC","Affordable Saver 12","0.1130","0.0950","0.0950","Minimum Usage Fee: You will be charged $8.95 on any invoice where your meter read usage is less than 1000 kWh.

","False","False","1","Fixed","12","12","150.00","http://www.apge.com","Available ways to pay are by check, credit card, and bank draft. ","https://enroll.apge.com/Offer/getDocument?documentId=2&offerCode=AEC_RES_12_FIXED_WEB","False","","https://enroll.apge.com/Offer/getDocument?documentId=10&offerCode=AEC_RES_12_FIXED_WEB","http://www.apge.com/lp/tx_p2c?utm_source=tx_p2c&utm_campaign=12_month&utm_medium=AEPC&utm_rate=9.5","","(877) 544-4857","TRUE","TRUE"
"1526","AEP TEXAS CENTRAL DIVISION","BOUNCE ENERGY INC","Fantastic Fixed 6","0.1200","0.1060","0.0990","","False","False","1","Fixed","14","6","135.00","http://www.bounceenergy.com/texas/fixed-rate-electricity/msid/51/pid/ff6?utm_source=BD&utm_medium=TX-PTC","*Order online or call 1-866-962-6862 to sign up! *Your choice of the best rewards programs in Texas. *Earn airline miles, cash back, bill credits, or gift cards. *Named "Among the Best" in electricity companies by JD Power. Monthly base charge $4.95. For new customers only.","http://www.bounceenergy.com/terms-of-service-fixed.pdf","False","","http://www.bounceenergy.com/efls/fantasticfixed6-080117.pdf","http://www.bounceenergy.com/texas/fixed-rate-electricity/msid/51/pid/ff6?utm_source=BD&utm_medium=TX-PTC","","(866) 962-6862","TRUE","FALSE"
"1618","AEP TEXAS CENTRAL DIVISION","BOUNCE ENERGY INC","Easy Fixed 3","0.1270","0.1130","0.1060","","False","False","1","Fixed","14","3","135.00","http://www.bounceenergy.com/texas/fixed-rate-electricity-3/msid/51/pid/ef3?utm_source=BD&utm_medium=TX-PTC","*Online only! *Your choice of the best rewards programs in Texas. *Earn airline miles, cash back, bill credits, or gift cards. *Earn bill credits with our Refer-a-Friend program Monthly base charge $4.95. For new customers only.","http://www.bounceenergy.com/terms-of-service-fixed.pdf","False","","http://www.bounceenergy.com/efls/easyfixed3-080117.pdf","http://www.bounceenergy.com/texas/fixed-rate-electricity-3/msid/51/pid/ef3?utm_source=BD&utm_medium=TX-PTC","","","TRUE","FALSE"
"1821","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Texas Indepedence AutoPay E-Plan","0.1080","0.0790","0.0750","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","12","1","0.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","http://www.southwestpl.com/Docs/swpl-tos-flex.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","TRUE","TRUE"
"1864","AEP TEXAS CENTRAL DIVISION","YEP","3 Month Green Earth 100% Renewable Autopay E-plan with Fixed Term ","0.1340","0.1050","0.1010","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","3","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-fixed-3-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"1870","AEP TEXAS CENTRAL DIVISION","YEP","6 Month Green Earth 100% Renewable Autopay E-plan with Fixed Term","0.1340","0.1050","0.1010","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","6","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-fixed-6-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"1875","AEP TEXAS CENTRAL DIVISION","YEP","Green Earth Autopay E-plan ","0.1120","0.0830","0.0790","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","100","1","0.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-flex.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-flex-pr-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","TRUE","TRUE"
"1880","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Healthy Heart Of Texas AutoPay E-Plan","0.1110","0.0820","0.0780","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","100","1","0.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","http://www.southwestpl.com/Docs/swpl-tos-flex.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","TRUE","TRUE"
"1885","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","3 Month Spirit Of Texas Fixed Rate AutoPay E-Plan","0.1220","0.0930","0.0890","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","3","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"1890","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","6 Month Spirit Of Texas Fixed Rate AutoPay E-Plan","0.1240","0.0950","0.0910","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","6","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"1953","AEP TEXAS CENTRAL DIVISION","BOUNCE ENERGY INC","Tremendous 24","0.1180","0.1040","0.0970","","False","False","1","Fixed","14","24","135.00","http://www.bounceenergy.com/texas/fixed-rate-electricity-24/msid/51/pid/tremend24?utm_source=BD&utm_medium=TX-PTC","*Lock in a rate for 24 months *Call 1-866-962-6862 to learn more! *Your choice of the best rewards programs in Texas. *Earn airline miles, cash back, bill credits, or gift cards. *Named "Among the Best" in electricity companies by JD Power. Monthly base charge $4.95. For new customers only.","http://www.bounceenergy.com/terms-of-service-fixed.pdf","False","","http://www.bounceenergy.com/efls/tremendous24-080117.pdf","http://www.bounceenergy.com/texas/fixed-rate-electricity-24/msid/51/pid/tremend24?utm_source=BD&utm_medium=TX-PTC","","(866) 962-6862","TRUE","FALSE"
"1955","AEP TEXAS CENTRAL DIVISION","BOUNCE ENERGY INC","Terrific 12","0.1150","0.1010","0.0940","","False","False","1","Fixed","14","12","135.00","http://www.bounceenergy.com/texas/fixed-rate-electricity-12/msid/51/pid/t12?utm_source=BD&utm_medium=TX-PTC","*Order online or call 1-866-962-6862 to sign up! *Your choice of the best rewards programs in Texas. *Earn airline miles, cash back, bill credits, or gift cards. *Named "Among the Best" in electricity companies by JD Power. Monthly base charge $4.95. For new customers only.","http://www.bounceenergy.com/terms-of-service-fixed.pdf","False","","http://www.bounceenergy.com/efls/terrific12-080117.pdf","http://www.bounceenergy.com/texas/fixed-rate-electricity-12/msid/51/pid/t12?utm_source=BD&utm_medium=TX-PTC","","(866) 962-6862","TRUE","FALSE"
"1989","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Spirit Of Texas AutoPay E-Plan","0.1250","0.0960","0.0920","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","24","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"1995","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Spirit Of Texas AutoPay E-Plan","0.1250","0.0960","0.0920","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","18","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-18-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2001","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Healthy Heart Of Texas AutoPay E-Plan","0.1280","0.0990","0.0950","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","24","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-24-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2007","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Healthy Heart Of Texas AutoPay E-Plan","0.1330","0.1040","0.1000","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","18","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-18-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2014","AEP TEXAS CENTRAL DIVISION","YEP","Autopay E-Plan ","0.1260","0.0970","0.0930","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","18","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-fixed-18-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"2019","AEP TEXAS CENTRAL DIVISION","YEP","Green Earth Autopay E-plan","0.1340","0.1050","0.1010","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","18","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-fixed-18-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"2024","AEP TEXAS CENTRAL DIVISION","YEP","Autopay E-Plan ","0.1260","0.0970","0.0930","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","24","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"2029","AEP TEXAS CENTRAL DIVISION","YEP","Green Earth Autopay E-plan ","0.1290","0.1000","0.0960","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","24","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-24-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
"2187","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","3 Month Renewable Healthy Heart Of Texas Fixed Rate AutoPay E-Plan","0.1330","0.1040","0.1000","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","3","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-3-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2192","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","6 Month Renewable Healthy Heart Of Texas Fixed Rate AutoPay E-Plan","0.1330","0.1040","0.1000","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","6","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-6-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2197","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","9 Month Renewable Healthy Heart Of Texas Fixed Rate AutoPay E-Plan","0.1280","0.0990","0.0950","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","9","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-9-green.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2202","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","9 Month Spirit Of Texas Fixed Rate AutoPay E-Plan","0.1240","0.0950","0.0910","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","12","9","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE"
"2240","AEP TEXAS CENTRAL DIVISION","AMBIT ENERGY","Lone Star Select 24 Month Term","0.1270","0.1050","0.1040","$9.99<1000kWh","False","False","1","Fixed","9","24","199.00","http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C","E-plan discount eligible product. Ambit Energy's E-Plan provides additional savings on our competitive rates and makes managing your account even easier. Just enroll in our Paperless Billing and Automatic Payment programs when you sign up for new service and you're done! See Electricity Facts Label for discount information and enrollment requirements.","https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService","False","","https://mediaserver.ambitenergy.com/media/get/LSS24MNG24RNG24_531_288_1","http://www.ambitenergy.com","","(877) 282-6248","FALSE","TRUE"
"2242","AEP TEXAS CENTRAL DIVISION","YEP","9 Month Green Earth 100% Renewable Autopay E-plan with Fixed Term","0.1290","0.1000","0.0960","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","9","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-9-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE"
